id,종목코드,기업명,업종코드,업종,자본금(원)
0,95570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,"46,822,295,000"
1,6840,AK홀딩스,116409,기타 금융업,"66,237,805,000"
2,27410,BGF,116409,기타 금융업,"95,716,791,000"
3,282330,BGF리테일,74701,종합 소매업,"17,283,906,000"
4,138930,BNK금융지주,116409,기타 금융업,"1,629,676,230,000"
5,1460,BYC,31401,봉제의복 제조업,"4,200,000,000"
6,1040,CJ,116409,기타 금융업,"179,047,370,000"
7,79160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","10,580,656,500"
8,120,CJ대한통운,84903,도로 화물 운송업,"114,061,720,000"
9,11150,CJ씨푸드,31007,기타 식품 제조업,"18,065,386,500"
10,97950,CJ제일제당,31007,기타 식품 제조업,"81,908,095,000"
11,590,CS홀딩스,116409,기타 금융업,"5,772,410,000"
12,12030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","100,586,966,500"
13,16610,DB금융투자,116601,금융 지원 서비스업,"212,231,945,000"
14,5830,DB손해보험,116501,보험업,"35,400,000,000"
15,990,DB하이텍,32601,반도체 제조업,"222,554,520,000"
16,139130,DGB금융지주,116409,기타 금융업,"845,729,165,000"
17,4840,DRB동일,116409,기타 금융업,"9,965,000,000"
18,155660,DSR,32402,1차 비철금속 제조업,"8,000,000,000"
19,69730,DSR제강,32401,1차 철강 제조업,"7,200,000,000"
20,17940,E1,74607,기타 전문 도매업,"34,300,000,000"
21,7700,F&F,31401,봉제의복 제조업,"7,700,000,000"
22,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,"30,927,835,000"
23,78930,GS,116409,기타 금융업,"473,501,020,000"
24,6360,GS건설,64101,건물 건설업,"400,489,020,000"
25,1250,GS글로벌,74608,상품 종합 도매업,"206,334,410,000"
26,7070,GS리테일,74701,종합 소매업,"77,000,000,000"
27,12630,HDC,116409,기타 금융업,"298,708,605,000"
28,39570,HDC아이콘트롤스,64203,전기 및 통신 공사업,"8,230,000,000"
29,89470,HDC현대EP,32004,기타 화학제품 제조업,"17,200,000,000"
30,294870,HDC현대산업개발,64101,건물 건설업,"329,536,650,000"
31,11200,HMM,85001,해상 운송업,"1,582,760,975,000"
