id,종목코드,기업명,현재가,액면가,통화구분,상장주식수(주),상장시가총액(원)
0,095570,AJ네트웍스,"3,355","1,000",원(KRW),"46,822,295","157,088,799,725"
1,006840,AK홀딩스,"18,900","5,000",원(KRW),"13,247,561","250,378,902,900"
2,027410,BGF,"4,400","1,000",원(KRW),"95,716,791","421,153,880,400"
3,282330,BGF리테일,"128,000","1,000",원(KRW),"17,283,906","2,212,339,968,000"
4,138930,BNK금융지주,"5,210","5,000",원(KRW),"325,935,246","1,698,122,631,660"
5,001460,BYC,"209,000","5,000",원(KRW),"624,615","130,544,535,000"
6,001465,BYC우,"117,500","5,000",원(KRW),"215,385","25,307,737,500"
7,001040,CJ,"88,200","5,000",원(KRW),"29,176,998","2,573,411,223,600"
8,079160,CJ CGV,"19,550",500,원(KRW),"21,161,313","413,703,669,150"
9,00104K,CJ4우(전환),"60,900","5,000",원(KRW),"4,226,512","257,394,580,800"
10,000120,CJ대한통운,"163,000","5,000",원(KRW),"22,812,344","3,718,412,072,000"
11,011150,CJ씨푸드,"3,685",500,원(KRW),"35,930,773","132,404,898,505"
12,011155,CJ씨푸드1우,"43,500",500,원(KRW),"200,000","8,700,000,000"
13,001045,CJ우,"44,800","5,000",원(KRW),"2,260,223","101,257,990,400"
14,097950,CJ제일제당,"384,000","5,000",원(KRW),"15,054,186","5,780,807,424,000"
15,097955,CJ제일제당 우,"150,000","5,000",원(KRW),"1,327,433","199,114,950,000"
16,000590,CS홀딩스,"61,000","5,000",원(KRW),"1,154,482","70,423,402,000"
17,012030,DB,718,500,원(KRW),"201,173,933","144,442,883,894"
18,016610,DB금융투자,"3,455","5,000",원(KRW),"42,446,389","146,652,273,995"
19,005830,DB손해보험,"49,150",500,원(KRW),"70,800,000","3,479,820,000,000"
20,000990,DB하이텍,"30,900","5,000",원(KRW),"44,398,588","1,371,916,369,200"
21,000995,DB하이텍1우,"66,300","5,000",원(KRW),"112,316","7,446,550,800"
22,139130,DGB금융지주,"5,270","5,000",원(KRW),"169,145,833","891,398,539,910"
